,tags,suno,udio,total,suno_percentage,udio_percentage,percentage_sum,is_genre,POS,is_instrument,is_voice,is_bpm,is_year,is_key,is_tempo,is_structure,LABEL
103,soul ballads,0.0,1.0,1.0,0.0,0.5555555555555556,0.5555555555555556,True,False,False,False,False,False,False,False,False,GENRE
104,soul,0.0,1.0,1.0,0.0,0.5555555555555556,0.5555555555555556,True,NOUN,False,False,False,False,False,False,False,GENRE
105,sad,0.0,1.0,1.0,0.0,0.5555555555555556,0.5555555555555556,False,ADJ,False,False,False,False,False,False,False,QUALIFIER
106,alternative metal,0.0,1.0,1.0,0.0,0.5555555555555556,0.5555555555555556,True,False,False,False,False,False,False,False,False,GENRE
107,dirty south,0.0,1.0,1.0,0.0,0.5555555555555556,0.5555555555555556,False,False,False,False,False,False,False,False,False,QUALIFIER
108,dirty rap,0.0,1.0,1.0,0.0,0.5555555555555556,0.5555555555555556,True,False,False,False,False,False,False,False,False,GENRE
109,jazz-funk,0.0,1.0,1.0,0.0,0.5555555555555556,0.5555555555555556,True,False,False,False,False,False,False,False,False,GENRE
110,j-pop,0.0,1.0,1.0,0.0,0.5555555555555556,0.5555555555555556,True,False,False,False,False,False,False,False,False,GENRE
111,g-funk,0.0,1.0,1.0,0.0,0.5555555555555556,0.5555555555555556,True,False,False,False,False,False,False,False,False,GENRE
112,industrial rock,0.0,1.0,1.0,0.0,0.5555555555555556,0.5555555555555556,True,False,False,False,False,False,False,False,False,GENRE
113,industrial metal,0.0,1.0,1.0,0.0,0.5555555555555556,0.5555555555555556,True,False,False,False,False,False,False,False,False,GENRE
114,self-hatred,0.0,1.0,1.0,0.0,0.5555555555555556,0.5555555555555556,False,False,False,False,False,False,False,False,False,QUALIFIER
115,experimental hip hop,0.0,1.0,1.0,0.0,0.5555555555555556,0.5555555555555556,True,False,False,False,False,False,False,False,False,GENRE
116,epic music,0.0,1.0,1.0,0.0,0.5555555555555556,0.5555555555555556,True,False,False,False,False,False,False,False,False,GENRE
117,epic,0.0,1.0,1.0,0.0,0.5555555555555556,0.5555555555555556,False,PROPN,False,False,False,False,False,False,False,QUALIFIER
118,industrial & noise,0.0,1.0,1.0,0.0,0.5555555555555556,0.5555555555555556,True,False,False,False,False,False,False,False,False,GENRE
119,indie pop,0.0,1.0,1.0,0.0,0.5555555555555556,0.5555555555555556,True,False,False,False,False,False,False,False,False,GENRE
120,indie folk,0.0,1.0,1.0,0.0,0.5555555555555556,0.5555555555555556,True,False,False,False,False,False,False,False,False,GENRE
121,hypnotic,0.0,1.0,1.0,0.0,0.5555555555555556,0.5555555555555556,False,ADJ,False,False,False,False,False,False,False,QUALIFIER
122,hispanic music,0.0,1.0,1.0,0.0,0.5555555555555556,0.5555555555555556,True,False,False,False,False,False,False,False,False,GENRE
123,film score,0.0,1.0,1.0,0.0,0.5555555555555556,0.5555555555555556,True,False,False,False,False,False,False,False,False,GENRE
124,party,0.0,1.0,1.0,0.0,0.5555555555555556,0.5555555555555556,False,NOUN,False,False,False,False,False,False,False,QUALIFIER
125,gangsta rap,0.0,1.0,1.0,0.0,0.5555555555555556,0.5555555555555556,True,False,False,False,False,False,False,False,False,GENRE
126,hispanic american music,0.0,1.0,1.0,0.0,0.5555555555555556,0.5555555555555556,True,False,False,False,False,False,False,False,False,GENRE
127,country pop,0.0,1.0,1.0,0.0,0.5555555555555556,0.5555555555555556,True,False,False,False,False,False,False,False,False,GENRE
128,country,0.0,1.0,1.0,0.0,0.5555555555555556,0.5555555555555556,True,NOUN,False,False,False,False,False,False,False,GENRE
129,funk,0.0,1.0,1.0,0.0,0.5555555555555556,0.5555555555555556,True,VERB,False,False,False,False,False,False,False,GENRE
130,orchestral,0.0,1.0,1.0,0.0,0.5555555555555556,0.5555555555555556,True,ADJ,False,False,False,False,False,False,False,GENRE
131,optimistic,0.0,1.0,1.0,0.0,0.5555555555555556,0.5555555555555556,False,ADJ,False,False,False,False,False,False,False,QUALIFIER
132,electropop,0.0,1.0,1.0,0.0,0.5555555555555556,0.5555555555555556,True,VERB,False,False,False,False,False,False,False,GENRE
133,modern classical,0.0,1.0,1.0,0.0,0.5555555555555556,0.5555555555555556,True,False,False,False,False,False,False,False,False,GENRE
134,metal,0.0,1.0,1.0,0.0,0.5555555555555556,0.5555555555555556,True,NOUN,False,False,False,False,False,False,False,GENRE
135,mellow,0.0,1.0,1.0,0.0,0.5555555555555556,0.5555555555555556,False,VERB,False,False,False,False,False,False,False,QUALIFIER
136,melancholic,0.0,1.0,1.0,0.0,0.5555555555555556,0.5555555555555556,False,ADJ,False,False,False,False,False,False,False,QUALIFIER
137,martial,0.0,1.0,1.0,0.0,0.5555555555555556,0.5555555555555556,False,ADJ,False,False,False,False,False,False,False,QUALIFIER
138,man screaming,0.0,1.0,1.0,0.0,0.5555555555555556,0.5555555555555556,False,False,False,False,False,False,False,False,False,QUALIFIER
139,futuristic swag,0.0,1.0,1.0,0.0,0.5555555555555556,0.5555555555555556,True,False,False,False,False,False,False,False,False,GENRE
140,latin pop,0.0,1.0,1.0,0.0,0.5555555555555556,0.5555555555555556,True,False,False,False,False,False,False,False,False,GENRE
141,northern american music,0.0,1.0,1.0,0.0,0.5555555555555556,0.5555555555555556,True,False,False,False,False,False,False,False,False,GENRE
