,tags,LABEL,count_suno,count_udio,total,length,is_genre,is_instrument,POS,is_voice,is_bpm,is_year,is_key,is_structure
11793,hiphop,GENRE/STYLE,73.0,14.0,87.0,6.0,False,False,PROPN,False,False,False,False,False
11805,hispanic american music,GENRE/STYLE,0.0,21.0,21.0,23.0,True,False,"ADJ, ADJ, NOUN",False,False,False,False,False
11807,hispanic music,GENRE/STYLE,0.0,22.0,22.0,14.0,True,False,"ADJ, NOUN",False,False,False,False,False
18561,romantic classical,GENRE/STYLE,0.0,10.0,10.0,18.0,True,False,"ADJ, NOUN",False,False,False,False,False
11853,honky tonk,GENRE/STYLE,5.0,35.0,40.0,10.0,True,False,"VERB, ADV",False,False,False,False,False
11754,hip hop rap,GENRE/STYLE,12.0,36.0,48.0,11.0,True,False,"NOUN, PROPN, NOUN",False,False,False,False,False
10142,gangsta,GENRE/STYLE,9.0,21.0,30.0,7.0,False,False,PROPN,False,False,False,False,False
19165,shakuhachi,GENRE/STYLE,10.0,0.0,10.0,10.0,True,False,PROPN,False,False,False,False,False
10114,g-funk,GENRE/STYLE,9.0,43.0,52.0,6.0,True,False,"X, PUNCT, NOUN",False,False,False,False,False
20257,southern rock,GENRE/STYLE,23.0,49.0,72.0,13.0,True,False,"PROPN, NOUN",False,False,False,False,False
20253,southern hip hop,GENRE/STYLE,1.0,141.0,142.0,16.0,True,False,"PROPN, PROPN, NOUN",False,False,False,False,False
20228,soundtrack,GENRE/STYLE,31.0,40.0,71.0,10.0,True,False,VERB,False,False,False,False,False
20197,sound effects,GENRE/STYLE,12.0,14.0,26.0,13.0,True,False,"ADJ, NOUN",False,False,False,False,False
20195,sound collage,GENRE/STYLE,4.0,6.0,10.0,13.0,True,False,"ADJ, NOUN",False,False,False,False,False
20107,soul jazz,GENRE/STYLE,2.0,37.0,39.0,9.0,True,False,"PROPN, NOUN",False,False,False,False,False
20088,soul blues,GENRE/STYLE,5.0,16.0,21.0,10.0,True,False,"NOUN, NOUN",False,False,False,False,False
20081,soul,GENRE/STYLE,415.0,489.0,904.0,4.0,True,False,NOUN,False,False,False,False,False
8546,epic doom metal,GENRE/STYLE,2.0,8.0,10.0,15.0,True,False,"ADJ, PROPN, NOUN",False,False,False,False,False
8171,emocore,GENRE/STYLE,5.0,9.0,14.0,7.0,True,False,NOUN,False,False,False,False,False
8608,epic music,GENRE/STYLE,3.0,111.0,114.0,10.0,True,False,"ADJ, NOUN",False,False,False,False,False
8633,epic rock,GENRE/STYLE,12.0,0.0,12.0,9.0,True,False,"PROPN, NOUN",False,False,False,False,False
8756,ethereal wave,GENRE/STYLE,8.0,43.0,51.0,13.0,True,False,"ADJ, NOUN",False,False,False,False,False
